Abdiasz
Cieszymysł
Cieszyrad
Cieszysław
Cieszysława
Cyntia
Cyprian
Cyriak
Cyriaka
Cyrus
Cyryl
Cząstobor
Cząstogniew
Cząstomir
Cząstowoj
Czcibor
Czcibora
Czcirad
Czcisław
Czech
Czechasz
Czechoń
Czesemir
Czesław
Czesława
Dacjan
Dadąbog
Dagmara
Dagna
Dagobert
Dajana
Dalebor
Dalegor
Dalemir
Dalia
Dalida
Dalila
Damaris
Damazy
Damian
Dan
Daniel
Daniela
Danisz
Danuta
Daria
Dariusz
Darosław
Dawid
Dawida
Dąbrówka
Debora
Delfin
Delfina
Demetria
Demetriusz
Demokryt
Denis
Dersław
Dezyderia
Dezyderiusz
Dezydery
Diana
Dianna
Dina
Diogenes
Diomada
Diomeda
Dionizja
Dionizjusz
Dionizy
Ditta
Długosz
Dobiegniew
Dobiemiest
Dobiemir
Dobiesław
Dobiesława
Dobisława
Dobrawa
Dobrocha
Dobrochna
Dobrociech
Dobrogniew
Dobrogost
Dobromierz
Dobromił
Dobromiła
Dobromir
Dobromira
Dobromysł
Dobronieg
Dobroniega
Dobrosław
Dobrosława
Dobrowiest
Dobrowit
Dobrowój
Dobrymir
Dolores
Domamir
Domarad
Domarat
Domasław
Domasława
Domawit
Domicela
Domicjan
Dominik
Dominika
Domisława
Domosław
Domosława
Donald
Donat
Donata
Dorian
Doris
Dorota
Dragomir
Drogomił
Drogomir
Drogomysł
Drogosław
Drogosława
Duszan
Dymitr
Dymitriusz
Dytrych
Dyzma
Dziersław
Dziersława
Dzierżykraj
Dzierżymir
Dzierżysław
Dzierżysława
Eberhard
Edda
Edgar
Edmund
Edmunda
Edward
Edwarda
Edwin
Edyta
Efrem
Egbert
Egon
Eleonora
Eliasz
Eliga
Eligia
Eligiusz
Eliza
Elizeusz
Elwira
Elżbieta
Emanuel
Emanuela
Emerencja
Emeryk
Emil
Emilia
Emilian
Emiliana
Emiliusz
Emma
Enema
Engelbert
Enoch
Epifan
Epifani
Epifania
Epifaniusz
Erast
Erazm
Erazma
Erhard
Ernest
Ernesta
Ernestyn
Ernestyna
Erwin
Erwina
Eryk
Eryka
Estera
Euchariusz
Eudokia
Eudoksja
Eudoksjusz
Eufemia
Eufrozyna
Eugenia
Eugeniusz
Eulalia
Eulogiusz
Eunika
Eustachiusz
Eustachy
Eutropiusz
Euzebia
Euzebiusz
Ewa
Ewald
Ewaryst
Ewdokia
Ewelin
Ewelina
Eweryst
Ezdrasz
Ezechiel
Fabia
Fabian
Fabiola
Fabrycjan
Fabrycy
Faust
Fausta
Faustyn
Faustyna
Felicja
Felicjan
Felicjana
Felicysym
Felicyta
Feliks
Feliksa
Ferdynand
Festus
Fidelis
Fides
Filemon
Filip
Filipina
Filomena
Flawia
Flawian
Flawiusz
Flora
Florencjusz
Florenty
Florentyn
Florentyna
Florian
Floryn
Fortunat
Fortunata
Franciszek
Franciszek Salezy
Franciszka
Frumencjusz
Fryda
Fryderyk
Fryderyka
Frydolin
Gabin
Gabor
Gabriel
Gabriela
Gajusz
Galezy
Gall
Galla
Gallina
Ganda
Gardenia
Gaspar
Gaudencja
Gaudencjusz
Gaudenty
Gaweł
Gawryła
Gebhard
Gedeon
Genowefa
Georgia
Georgina
Gerald
Geraldyna
Gerard
Gerarda
Gerhard
German
Germanik
Gertruda
Gerwazy
Gilbert
Gilda
Gizela
Glikeria
Gloria
Gniewomir
Gniewosz
Goar
Godfryd
Godzimierz
Godzimir
Godzisław
Godzisława
Godzisz
Goliat
Gorgoncjusz
Gorzysław
Gosław
Gościmił
Gościmir
Gościrad
Gościsław
Gościsława
Gościwit
Gotard
Gotfryd
Gracja
Gracjan
Gracjana
Grażyna
Greta
Grodzisław
Gryzelda
Grzegorz
Grzymisław
Grzymisława
Gustaw
Gustawa
Gwalbert
Gwidon
Hadrian
Halina
Halka
Halszka
Hanna
Harasym
Hegezyp
Helena
Heliasz
Heliodor
Helmut
Heloiza
Henryk
Henryka
Herakles
Herakliusz
Herbert
Herkulan
Herkules
Herman
Hermenegild
Hermenegilda
Hermenia
Hermes
Hermina
Herminia
Hiacynt
Hiacynta
Hieronim
Hilaria
Hilary
Hildegarda
Hipolit
Hipolita
Honorat
Honorata
Honoriusz
Honoryna
Horacjusz
Horacy
Hortensja
Hortensjusz
Hubert
Huberta
Hugo
Hugon
Humbert
Hygin
Ida
Idalia
Idzi
Ifigenia
Iga
Ignacja
Ignacy
Igor
Ildefons
Ilia
Ilona
Ilza
Imisław
Imisława
Inez
Inga
Ingeborga
Ingrid
Ingrida
Innocenta
Innocenty
Irena
Ireneusz
Irina
Irma
Irmina
Irwin
Iryda
Irydion
Isaura
Ismena
Ita
Iwa
Iwan
Iwetta
Iwo
Iwon
Iwona
Izaak
Izabela
Izabella
Izajasz
Izolda
Izyda
Izydor
Jacek
Jacenty
Jacław
Jaczewoj
Jadwiga
Jagna
Jagoda
Jakobina
Jakub
Jan
Jan Chryzostom
Jan Gwalbert
Jan Kanty
Jan Nepomucen
Janina
Janisław
Januaria
January
Janusz
Jarema
Jarmiła
Jarogniew
Jaromir
Jaropełk
Jarosław
Jarosława
Jaśmina
Jazon
Jądrzej
Jeremi
Jeremiasz
Jeron
Jerosława
Jerzy
Jewdocha
Joachim
Joachima
Joanna
Job
Joel
Jolanda
Jolanta
Jonasz
Jonatan
Jordan
Jowita
Jozafat
Jozue
Józef
Józefa
Józefat
Józefina
Juda
Judasz
Judyta
Julia
Julian
Julianna
Julietta
Julita
Juliusz
Jurand
Jurata
Justyn
Justyna
Justynian
Kacper
Kain
Kaja
Kajetan
Kajus
Kalasanty
Kalikst
Kaliksta
Kalina
Kalistrat
Kallina
Kamelia
Kamil
Kamila
Kamilla
Kandyd
Kanizjusz
Kanty
Kanut
Karena
Karin
Karina
Karol
Karol Boromeusz
Karola
Karolin
Karolina
Karp
Kasjan
Kasjana
Kasper
Kastor
Katarzyna
Kazimiera
Kazimierz
Kesja
Kewin
Kiejstut
Kilian
Kinga
Kir
Kira
Kirył
Klara
Klarysa
Klaudia
Klaudian
Klaudiusz
Klaudyna
Klaus
Klemencja
Klemens
Klement
Klementyn
Klementyna
Kleofas
Kleopatra
Klet
Klotylda
Koleta
Kolombina
Kondrad
Kondrat
Konrad
Konrada
Konradyn
Konradyna
Konstancja
Konstancjusz
Konstans
Konstanty
Konstantyn
Kordelia
Kordian
Kordula
Kornel
Korneli
Kornelia
Korneliusz
Kosma
Kryspin
Kryspina
Krystian
Krystiana
Krystyn
Krystyna
Krzesimir
Krzesisław
Krzesisława
Krzysztof
Krzysztofa
Krzywosąd
Ksawera
Ksawery
Ksaweryna
Ksenia
Ksenofont
Ksymena
Kunegunda
Kurt
Kwiatosława
Kwiryn
Kwiryna
Lambert
Lamberta
Larysa
Laura
Laurencja
Laurencjusz
Laurenty
Laurentyn
Laurentyna
Laza
Lea
Leander
Lech
Lechosław
Lechosława
Lena
Lenart
Leodegar
Leokadia
Leon
Leona
Leonard
Leonarda
Leoncjusz
Leonia
Leonid
Leonida
Leonidas
Leontyna
Leopard
Leopold
Leopolda
Leopoldyna
Lesław
Lesława
Leszek
Lew
Lewin
Liberat
Liberata
Libert
Liboriusz
Lidia
Ligia
Lilian
Liliana
Lilianna
Lilla
Linda
Liwia
Liwiusz
Liza
Loda
Lolita
Longin
Longina
Longinus
Lora
Loretta
Luba
Lubogost
Lubomierz
Lubomiła
Lubomir
Lubomira
Lubomysł
Lubor
Lubosław
Lubosza
Lucja
Lucjan
Lucjol
Lucjola
Lucjusz
Lucylla
Lucyna
Ludgarda
Ludmiła
Ludomił
Ludomiła
Ludomir
Ludomira
Ludosław
Ludwik
Ludwika
Ludwina
Luiza
Lukrecja
Lutobor
Lutogniew
Lutomir
Lutomysł
Lutosław
Ładysław
Łazarz
Łąkomir
Łucja
Łucjan
Łucjusz
Łukasz
Machabeusz
Maciej
Madlena
Magda
Magdalena
Magnus
Maja
Makary
Maksym
Maksymilian
Maksymin
Malina
Malkolm
Malwin
Malwina
Małgorzata
Mamert
Manfred
Manfreda
Mansfet
Manswet
Manuela
Marcel
Marcela
Marceli
Marcelin
Marcelina
Marcin
Marcjal
Marcjan
Marcjanna
Marek
Margareta
Margot
Maria
Maria Magdalena
Marian
Marianna
Marietta
Marika
Marina
Mariola
Marita
Mariusz
Marlena
Marta
Martyn
Martyna
Martynian
Martynin
Maryla
Maryna
Marzanna
Marzena
Masław
Materna
Mateusz
Matron
Matylda
Maur
Maura
Maurycy
Mauryn
Mącimir
Mechtylda
Medard
Melania
Melchior
Metoda
Metody
Michalina
Michał
Micheasz
Mieczysław
Mieczysława
Mieszko
Mikołaj
Milena
Milenia
Miligost
Miła
Miłogost
Miłorad
Miłosław
Miłosława
Miłosz
Miłowan
Miłowit
Mina
Mindora
Minodora
Mira
Mirabella
Miranda
Mirella
Miriam
Mirogniew
Miromir
Miron
Mironieg
Mironiega
Mirosław
Mirosława
Modest
Modesta
Mojmir
Mojżesz
Mokij
Monika
Morzysław
Mścibor
Mścigniew
Mścisław
Mścisława
Mściwój
Myślibor
Myślimir
Naczesław
Nadbor
Nadia
Nadmir
Nadzieja
Nahum
Namysław
Napoleon
Narcyz
Narcyza
Natalia
Natalis
Natan
Natanael
Natasza
Naum
Nawoj
Nehemiasz
Nelly
Nemezjusz
Neomiła
Nepomucen
Nestor
Nicefor
Niecisław
Niedamir
Niegomir
Niegosław
Niegosława
Niemir
Niemira
Niezamysł
Nieznamir
Nikanor
Nikifor
Nikita
Nikodem
Nimfa
Nina
Ninogniew
Ninomysł
Noe
Noemi
Nonna
Nora
Norbert
Norberta
Norma
Norman
Nosisław
Oda
Odil
Odila
Odilla
Odo
Odon
Odyseusz
Ofelia
Oksana
Oktawia
Oktawian
Oktawiusz
Olaf
Olech
Oleg
Olga
Olgierd
Olimpia
Oliwia
Oliwier
Onufry
Orchidea
Orestes
Orfeusz
Oriana
Oskar
Ostap
Oswald
Oswalda
Otniel
Otomar
Otto
Otton
Otylia
Ozanna
Ozeasz
Pafnucy
Pakosław
Pakosz
Pakoszław
Paloma
Pamela
Pankracy
Pantaleon
Paramon
Parys
Paschalis
Patrycja
Patrycjusz
Patrycy
Patryk
Paula
Paulin
Paulina
Paweł
Pącisław
Pącisława
Pąkosław
Pelagia
Pelagiusz
Perpetua
Petronela
Petronia
Petroniusz
Pia
Pimen
Piotr
Pius
Placyd
Placydia
Platon
Pola
Polikarp
Pompejusz
Porfirion
Potencjana
Prakseda
Priam
Probus
Prochor
Prokop
Prosimir
Prosper
Prot
Protazy
Prudencjusz
Pryscylla
Pryska
Przecław
Przecława
Przedbor
Przedpełk
Przedwoj
Przemił
Przemysł
Przemysław
Przemysława
Przesław
Przybyczest
Przybygniew
Przybymir
Przybyrad
Przybysław
Przybysława
Przybywoj
Pudecjanna
Pudens
Pulcheria
Rachela
Racibor
Racimir
Racisław
Radek
Radociech
Radogost
Radomił
Radomiła
Radomir
Radomysł
Radosław
Radosława
Radowid
Radowit
Radzim
Radzimierz
Radzimir
Radzisław
Radzisława
Radziwoj
Rafael
Rafaela
Rafał
Rainer
Raissa
Rajmund
Rajmunda
Rajnold
Ramon
Ramona
Rebeka
Redogort
Regina
Reinhold
Remigiusz
Rena
Renat
Renata
Renę
Rita
Robert
Roberta
Roch
Roderyk
Rodryg
Rodryk
Roger
Roksana
Roland
Roma
Roman
Romana
Romeo
Romuald
Romualda
Ronald
Rościgniew
Rościmir
Rościsław
Rościsława
Rozalia
Rozanna
Rozyna
Róża
Ruben
Rudolf
Rudolfa
Rudolfina
Rufin
Rufina
Rufus
Rupert
Ruprecht
Rut
Ruta
Rygobert
Ryszard
Ryszarda
Saba
Sabin
Sabina
Salezy
Salome
Salomea
Salomon
Salwator
Salwin
Samanta
Sambor
Samson
Samuel
Samuela
Sandra
Sara
Saturnin
Saturnina
Saul
Sawa
Sawin
Sądomir
Sądosław
Sądzimir
Sądzisław
Sądzisława
Sądziwoj
Scholastyka
Sebald
Sebastian
Sebastiana
Selma
Serafin
Serafina
Sergiusz
Serwacy
Sewer
Sewera
Sewerian
Seweryn
Seweryna
Sieciech
Sieciesław
Sieciesława
Siemiodrog
Siemirad
Siemisław
Siemomysł
Siemowit
Sierosław
Sierosława
Siestrzemił
Siestrzewit
Skarbimierz
Skarbimir
Sława
Sławobor
Sławoj
Sławomir
Sławomira
Sławosz
Sobiesąd
Sobiesław
Sobiesława
Sofia
Sofroniusz
Sonia
Soter
Sozant
Spirydion
Spycigniew
Spycimir
Spycisław
Stanimir
Stanisław
Stanisława
Stefan
Stefania
Stella
Stojgniew
Stojmir
Stojsław
Stosław
Stronisław
Stronisława
Strzeżymir
Strzeżysław
Strzeżysława
Strzeżywoj
Sulibor
Sulimiera
Sulimierz
Sulimir
Sulirad
Sulisław
Sulisława
Suliwoj
Sulpicjusz
Swetłana
Swietłana
Sybilla
Sydonia
Sykstus
Sylwan
Sylwana
Sylweriusz
Sylwery
Sylwester
Sylwia
Sylwin
Sylwiusz
Symeon
Symforiana
Symplicjusz
Szarlota
Szcząsna
Szcząsny
Szczepan
Szeliga
Szwieciech
Szymon
Szymoneta
Ścibor
Ścibora
Światozar
Świącimir
Świątobor
Świątochna
Świątomir
Świątomira
Świątopełk
Świątosław
Świątosława
Świeciech
Tacjana
Tacjanna
Tacjusz
Tadeusz
Tadeusza
Taida
Talita
Tamara
Taras
Tatiana
Tągomir
Tekla
Telesfor
Telimena
Telisława
Teobald
Teodor
Teodora
Teodoryka
Teodozja
Teodozjusz
Teofil
Teofila
Terencjusz
Teresa
Tezeusz
Tobiasz
Toligniew
Tolimir
Tolisław
Tolisława
Toma
Tomasz
Tomił
Tomir
Tomira
Tomisław
Tomisława
Torpet
Toska
Tristan
Trofim
Trzebimir
Trzebisław
Trzebisława
Trzebomysł
Trzebowit
Twardosław
Tworzymir
Tworzysław
Tworzysława
Tyberiusz
Tyburcjusz
Tycjan
Tymon
Tymoteusz
Tytus
Ubald
Ubysław
Ulrych
Ulryk
Ulryka
Uniedrog
Uniegost
Uniemysł
Uniewit
Unimir
Unisław
Urban
Uriasz
Urlyk
Ursyn
Urszula
Violetta
Wacław
Wacława
Wadim
Waldemar
Waldemara
Walenty
Walentyn
Walentyna
Waleria
Walerian
Waleriana
Waleriusz
Walery
Walter
Wanda
Warcisław
Warwara
Wasyl
Wawrzyn
Wawrzyniec
Wenancjusz
Wendelin
Wenesa
Wera
Werner
Weronika
Wespazjan
Wiaczesław
Wiącemił
Wiącemiła
Wiącemir
Wiącerad
Wiącesław
Wiącesława
Wiączysław
Wielisław
Wielisława
Wieńczysław
Wiera
Wierzchosław
Wierzchosława
Wiesław
Wiesława
Wiktor
Wiktoria
Wiktorian
Wiktoriusz
Wiktoryn
Wiktoryna
Wilhelm
Wilhelmina
Wilibald
Wilma
Wincenta
Wincenty
Wincentyna
Winicjusz
Wiola
Wioletta
Wirgiliusz
Wirginia
Wirginiusz
Wisław
Wisława
Wit
Witalian
Witalis
Witold
Witolda
Witołd
Witomił
Witomir
Witomysł
Witosław
Witosława
Wiwanna
Władymir
Władysław
Władysława
Włodzimierz
Włodzimir
Włodzisław
Włodzisława
Włodziwoj
Włościbor
Włościsław
Włościsława
Wodzisław
Wojbor
Wojciech
Wojciecha
Wojmir
Wojsław
Wojsława
Wolfgang
Wolimir
Wolmar
Wrócimir
Wrócisław
Wrócisława
Wróciwoj
Wrzesław
Wrzesława
Wszebąd
Wszebor
Wszebora
Wszeciech
Wszegniew
Wszemił
Wszemiła
Wszemir
Wszerad
Wyszemir
Wyszeniega
Wyszesław
Wyszesława
Wyszomir
Zachariasz
Zacheusz
Zawisza
Zbigniew
Zbigniewa
Zbisław
Zbroimir
Zbrosław
Zbygniew
Zbylut
Zbysław
Zbysława
Zbyszko
Zdobysław
Zdzibor
Zdzimir
Zdzisław
Zdzisława
Zdziwoj
Zefir
Zefiryn
Zefiryna
Zelmira
Zenobia
Zenobiusz
Zenon
Zenona
Ziemisław
Ziemowit
Zofia
Zora
Zorian
Zula
Zuzanna
Zygfryd
Zygfryda
Zygmunt
Zyta
Żaklina
Żalina
Żaneta
Żanna
Żegota
Żelisław
Żyrosław
Żytomir
Żywia
Żywisław
